2.38E-01,1.8199999,2.38E-01,1.6999999
2.40E-01,1.8199999,2.40E-01,1.7199999
2.42E-01,1.8,2.42E-01,1.7199999
2.44E-01,1.8,2.44E-01,1.7199999
2.46E-01,1.8199999,2.46E-01,1.7199999
2.48E-01,1.8,2.48E-01,1.6999999
2.50E-01,1.8199999,2.50E-01,1.7199999
2.52E-01,1.8,2.52E-01,1.7199999
2.54E-01,1.8,2.54E-01,1.6999999
2.56E-01,1.8,2.56E-01,1.6999999
2.58E-01,1.8199999,2.58E-01,1.6999999
2.60E-01,1.8399999,2.60E-01,1.7199999
2.62E-01,1.8,2.62E-01,1.7199999
2.64E-01,1.8,2.64E-01,1.6799999
2.66E-01,1.8,2.66E-01,1.7199999
2.68E-01,1.8199999,2.68E-01,1.74
2.70E-01,1.8,2.70E-01,1.74
2.72E-01,1.8,2.72E-01,1.6999999
2.74E-01,1.8199999,2.74E-01,1.74
2.76E-01,1.8199999,2.76E-01,1.74
2.78E-01,1.8,2.78E-01,1.7199999
2.80E-01,1.8399999,2.80E-01,1.74
2.82E-01,1.8,2.82E-01,1.6999999
2.84E-01,1.8399999,2.84E-01,1.74
2.86E-01,1.8199999,2.86E-01,1.7199999
2.88E-01,1.8199999,2.88E-01,1.6799999
2.90E-01,1.8199999,2.90E-01,1.6999999
2.92E-01,1.8399999,2.92E-01,1.6999999
2.94E-01,1.8399999,2.94E-01,1.6999999
2.96E-01,1.8199999,2.96E-01,1.6999999
2.98E-01,1.8,2.98E-01,1.7199999
3.00E-01,1.8199999,3.00E-01,1.6999999
3.02E-01,1.8399999,3.02E-01,1.74
3.04E-01,1.8199999,3.04E-01,1.74
3.06E-01,1.8199999,3.06E-01,1.76
3.08E-01,1.8199999,3.08E-01,1.6999999
3.10E-01,1.8399999,3.10E-01,1.74
3.12E-01,1.8399999,3.12E-01,1.76
3.14E-01,1.8399999,3.14E-01,1.6999999
3.16E-01,1.8199999,3.16E-01,1.74
3.18E-01,1.8399999,3.18E-01,1.76
3.20E-01,1.8399999,3.20E-01,1.7199999
3.22E-01,1.8199999,3.22E-01,1.74
3.24E-01,1.8199999,3.24E-01,1.76
3.26E-01,1.8399999,3.26E-01,1.7199999
3.28E-01,1.86,3.28E-01,1.76
3.30E-01,1.8399999,3.30E-01,1.74
3.32E-01,1.8399999,3.32E-01,1.6999999
3.34E-01,1.8399999,3.34E-01,1.74
3.36E-01,1.8399999,3.36E-01,1.76
3.38E-01,1.8199999,3.38E-01,1.6999999
3.40E-01,1.86,3.40E-01,1.7199999
3.42E-01,1.8399999,3.42E-01,1.76
3.44E-01,1.8399999,3.44E-01,1.76
3.46E-01,1.8399999,3.46E-01,1.74
3.48E-01,1.8399999,3.48E-01,1.74
3.50E-01,1.86,3.50E-01,1.74
3.52E-01,1.86,3.52E-01,1.74
3.54E-01,1.86,3.54E-01,1.76
3.56E-01,1.86,3.56E-01,1.6999999
3.58E-01,1.8399999,3.58E-01,1.74
3.60E-01,1.8399999,3.60E-01,1.74
3.62E-01,1.88,3.62E-01,1.76
3.64E-01,1.8399999,3.64E-01,1.74
3.66E-01,1.8399999,3.66E-01,1.6999999
3.68E-01,1.8399999,3.68E-01,1.7199999
3.70E-01,1.9,3.70E-01,1.7199999
